,trial,obs_diff,rate_diff,outcome,amount,human_mean,model_mean,model_final
1,1_1_1_fail,hard,hard,fail,1,0.156166667,0.122,0.1629
2,1_1_1_succ,hard,hard,success,1,0.675361111,0.57,0.6858
3,1_1_3_fail,hard,hard,fail,3,0.108144231,0.1196,0.0882
4,1_1_3_succ,hard,hard,success,3,0.7821875,0.5686,0.8558
5,1_3_1_fail,hard,medium,fail,1,0.489188235,0.5764,0.5316
6,1_3_1_succ,hard,medium,success,1,0.770224299,0.9766,0.9488
7,1_3_3_fail,hard,medium,fail,3,0.43867033,0.578,0.4225
8,1_3_3_succ,hard,medium,success,3,0.903292135,0.9748,0.9943
9,1_5_1_fail,hard,easy,fail,1,0.698947368,0.9696,0.6763
10,1_5_1_succ,hard,easy,success,1,0.915406593,1,0.9843
11,1_5_3_fail,hard,easy,fail,3,0.65722314,0.9682,0.5849
12,1_5_3_succ,hard,easy,success,3,0.953282828,1,0.9992
13,3_1_1_fail,medium,hard,fail,1,0.115689076,0.0176,0.0167
14,3_1_1_succ,medium,hard,success,1,0.399818182,0.31467,0.4832
15,3_1_3_fail,medium,hard,fail,3,0.120571429,0.0171,0.0514
16,3_1_3_succ,medium,hard,success,3,0.480822222,0.31804,0.5915
17,3_3_1_fail,medium,medium,fail,1,0.368446809,0.30864,0.3456
18,3_3_1_succ,medium,medium,success,1,0.716858696,0.8392,0.8297
19,3_3_3_fail,medium,medium,fail,3,0.2401875,0.304,0.2
20,3_3_3_succ,medium,medium,success,3,0.819148148,0.8344,0.9246
21,3_5_1_fail,medium,easy,fail,1,0.674860759,0.93112,0.4898
22,3_5_1_succ,medium,easy,success,1,0.872238095,0.9969,0.9254
23,3_5_3_fail,medium,easy,fail,3,0.5808,0.9308,0.3289
24,3_5_3_succ,medium,easy,success,3,0.92889899,0.99692,0.9803
25,5_1_1_fail,easy,hard,fail,1,0.088178218,0.0004,0.0243
26,5_1_1_succ,easy,hard,success,1,0.353886364,0.2264,0.4232
27,5_1_3_fail,easy,hard,fail,3,0.09575,0.001,0.0072
28,5_1_3_succ,easy,hard,success,3,0.339206522,0.21516,0.509
29,5_3_1_fail,easy,medium,fail,1,0.252009434,0.0687,0.2408
30,5_3_1_succ,easy,medium,success,1,0.627908163,0.6686,0.7918
31,5_3_3_fail,easy,medium,fail,3,0.133427083,0.069,0.1394
32,5_3_3_succ,easy,medium,success,3,0.653298246,0.6652,0.8728
33,5_5_1_fail,easy,easy,fail,1,0.426358491,0.7402,0.393
34,5_5_1_succ,easy,easy,success,1,0.860069307,0.9806,0.886
35,5_5_3_fail,easy,easy,fail,3,0.204539216,0.7446,0.2516
36,5_5_3_succ,easy,easy,success,3,0.912613636,0.98,0.9505